pid,vid,sid,mode,fixed_dev_mem,llm_dev_mem,fixed_reg_mem,llm_reg_mem
Compress,26,1,mem,199619091.2,238904595.2,71140.8,75688.0
Compress,26,2,mem,0.0,0.0,76680.0,42214.4
Compress,26,3,mem,201845424.0,181795468.8,77118.4,72644.8
Compress,26,4,mem,111855009.6,125593208.0,75710.4,82646.4
Compress,26,5,mem,193389963.2,144658379.2,71227.2,67956.8
Compress,27,1,normal,0.0,0.0,1700593.6,134393.6
Compress,27,2,normal,0.0,0.0,0.0,0.0
Compress,27,3,normal,271455163.2,277003796.8,1695448.0,1699016.0
Compress,27,4,normal,275984550.4,261980577.6,1696321.6,1697366.4
Compress,27,5,normal,0.0,0.0,0.0,0.0
Compress,27,1,time,0.0,0.0,0.0,0.0
Compress,27,2,time,283370236.8,290161779.2,0.0,0.0
Compress,27,3,time,265506955.2,261412363.2,1371668.8,1699713.6
Compress,27,4,time,260435788.8,303267574.4,1698131.2,1702272.0
Compress,27,5,time,305993987.2,251886012.8,1697361.6,1702420.8
Compress,27,1,mem,259105259.2,258529366.4,1374528.0,1695740.8
Compress,27,2,mem,0.0,0.0,0.0,0.0
Compress,27,3,mem,0.0,0.0,1379496.0,134881.6
Compress,27,4,mem,266439680.0,267694995.2,1698915.2,1377916.8
Compress,27,5,mem,272512424.0,284399936.0,1695548.8,1702256.0
Compress,28,1,normal,249790004.8,243475273.6,1688614.4,1688235.2
Compress,28,2,normal,263016752.0,259986195.2,1371449.6,1690372.8
Compress,28,3,normal,252491416.0,276189265.6,1690096.0,1362489.6
Compress,28,4,normal,251659659.2,259763502.4,1362780.8,1690900.8
Compress,28,5,normal,231766264.0,296405401.6,1693520.0,1690281.6
Compress,28,1,time,0.0,0.0,1696358.4,1726961.6
Compress,28,2,time,275434473.6,253451492.8,1693830.4,1699881.6
Compress,28,3,time,261633392.0,249797150.4,1368528.0,1695406.4
Compress,28,4,time,250125971.2,284813446.4,1695521.6,1697201.6
Compress,28,5,time,253915600.0,294427321.6,1697249.6,1369281.6
Compress,28,1,mem,265367115.2,260123811.2,1692956.8,1691536.0
Compress,28,2,mem,285512726.4,266920371.2,1695956.8,1693246.4
Compress,28,3,mem,279244321.6,281412166.4,1368568.0,1694248.0
Compress,28,4,mem,276163284.8,271972643.2,1691305.6,1693889.6
Compress,28,5,mem,239214336.0,288669622.4,1701108.8,1367952.0
Compress,30,1,normal,216595508.8,213370587.2,84417.6,91571.2
Compress,30,2,normal,203127256.0,235390923.2,108724.8,90969.6
Compress,30,3,normal,193912056.0,250671038.4,65128.0,92416.0
Compress,30,4,normal,233583908.8,244035539.2,65256.0,73017.6
Compress,30,5,normal,228150593.6,241346419.2,107636.8,52854.4
Compress,30,1,time,205943832.0,200551308.8,132808.0,132212.8
Compress,30,2,time,198953406.4,237635060.8,98708.8,91203.2
Compress,30,3,time,250818409.6,201957144.0,79672.0,49084.8
Compress,30,4,time,197385579.2,217934467.2,49814.4,57452.8
Compress,30,5,time,224113688.0,195515411.2,80246.4,65660.8
Compress,30,1,mem,160934859.2,238295142.4,71076.8,72326.4
Compress,30,2,mem,241340321.6,254328324.8,82612.8,66513.6
Compress,30,3,mem,165577200.0,220065216.0,89536.0,68296.0
Compress,30,4,mem,195380811.2,225390798.4,83454.4,106968.0
Compress,30,5,mem,198187275.2,219830416.0,84387.2,67664.0
Compress,31,1,normal,222135539.2,239036500.8,83204.8,81163.2
Compress,31,2,normal,175598801.6,197337985.6,73748.8,75430.4
Compress,31,3,normal,0.0,0.0,81584.0,103857.6
Compress,31,4,normal,204932390.4,246796696.0,75865.6,78185.6
Compress,31,5,normal,0.0,0.0,85059.2,105803.2
Compress,31,1,time,0.0,0.0,67649.6,90011.2
Compress,31,2,time,0.0,0.0,0.0,0.0
Compress,31,3,time,0.0,0.0,78139.2,97419.2
Compress,31,4,time,0.0,0.0,81139.2,97940.8
Compress,31,5,time,0.0,0.0,84803.2,91649.6
Compress,31,1,mem,213785072.0,220274588.8,81179.2,71292.8
Compress,31,2,mem,0.0,0.0,79166.4,93851.2
Compress,31,3,mem,0.0,0.0,0.0,0.0
Compress,31,4,mem,0.0,0.0,0.0,0.0
Compress,31,5,mem,198393454.4,176104545.6,80536.0,83043.2
Compress,32,1,normal,188989622.4,224847676.8,66611.2,50056.0
Compress,32,2,normal,168051104.0,222466480.0,38436.8,62264.0
Compress,32,3,normal,225489635.2,247335508.8,63374.4,57984.0
Compress,32,4,normal,215505164.8,194252544.0,61190.4,59099.2
Compress,32,5,normal,0.0,0.0,0.0,0.0
Compress,32,1,time,0.0,0.0,0.0,0.0
Compress,32,2,time,0.0,0.0,37286.4,127688.0
Compress,32,3,time,0.0,0.0,0.0,0.0
Compress,32,4,time,0.0,0.0,0.0,0.0
Compress,32,5,time,0.0,0.0,0.0,0.0
Compress,32,1,mem,0.0,0.0,67004.8,128164.8
Compress,32,2,mem,217769603.2,247808273.6,37350.4,62292.8
Compress,32,3,mem,0.0,0.0,0.0,0.0
